eta,lambda,avg_mse,std_mse
0.05,1e-07,2.987559441825525,0.650146179192357
0.05,1e-05,2.9874105558467305,0.6497387236001512
0.05,0.001,2.9743559764554757,0.6107966902642089
0.05,0.1,4.269233599746597,0.7921580946819585
0.05,1.0,6.321175287396099,1.0907104144869841
0.05,10.0,inf,
0.05,100.0,,
0.04,1e-07,2.96303641049336,0.5501620844764327
0.04,1e-05,2.962946905363143,0.5498682695446212
0.04,0.001,2.9553309638914826,0.5217617433829626
0.04,0.1,4.269244896061763,0.7921654911577917
0.04,1.0,6.321175287396099,1.0907104144869844
0.04,10.0,2.202656962537911e+189,inf
0.04,100.0,,
0.03,1e-07,2.944336696105768,0.43494371708435814
0.03,1e-05,2.9443083995988806,0.4347665020576747
0.03,0.001,2.942362916343724,0.4179548872220824
0.03,0.1,4.2694044860314495,0.7922524732658958
0.03,1.0,6.321175287396099,1.0907104144869844
0.03,10.0,6.813636757341259,1.05324380350402
0.03,100.0,,
0.02,1e-07,2.9554009996951,0.32256499459640836
0.02,1e-05,2.955441737287097,0.322527493326071
0.02,0.001,2.9599659090323884,0.31935382005867796
0.02,0.1,4.27222195603896,0.7934069979517296
0.02,1.0,6.3211752873961,1.0907104144869841
0.02,10.0,6.813636757341259,1.05324380350402
0.02,100.0,,
0.01,1e-07,3.201862372576001,0.42069057476416916
0.01,1e-05,3.201967101068523,0.4207477298095826
0.01,0.001,3.21250806203149,0.42646150242198216
0.01,0.1,4.336720352968106,0.8126337875095477
0.01,1.0,6.321175287587996,1.09071041451939
0.01,10.0,6.813636757341259,1.05324380350402
0.01,100.0,8.911552005943533e+264,inf
